player,position,age,team,games,game_starts,minutes,fgm,fga,fg_percent,fg3m,fg3a,fg3_percent,fg2m,fg2a,fg2_percent,e_fg_percent,ftm,fta,ft_percent,oreb,dreb,treb,ast,stl,blk,tov,pf,pts,player_additional
Kevin Durant,PF,34,BRK,25,25,922,265,479,0.553,39,115,0.339,226,364,0.621,0.594,178,194,0.918,9,157,166,135,18,44,86,62,747,duranke01
Jayson Tatum,PF,24,BOS,24,24,887,242,504,0.48,82,225,0.364,160,279,0.573,0.562,172,198,0.869,27,172,199,101,24,25,66,54,738,tatumja01
Luka Dončić,PG,23,DAL,22,22,810,254,498,0.51,61,178,0.343,193,320,0.603,0.571,165,230,0.717,19,168,187,188,40,15,79,64,734,doncilu01
Stephen Curry,PG,34,GSW,23,23,800,233,467,0.499,117,271,0.432,116,196,0.592,0.624,106,117,0.906,12,140,152,162,24,6,72,49,689,curryst01
Shai Gilgeous-Alexander,SG,24,OKC,22,22,786,235,464,0.506,22,67,0.328,213,397,0.537,0.53,197,212,0.929,21,84,105,132,39,25,73,54,689,gilgesh01
Devin Booker,SG,26,PHO,24,24,859,244,500,0.488,57,146,0.39,187,354,0.528,0.545,136,156,0.872,20,97,117,142,24,10,61,64,681,bookede01
Donovan Mitchell,SG,26,CLE,22,22,803,216,443,0.488,85,202,0.421,131,241,0.544,0.584,108,122,0.885,18,67,85,107,30,10,68,54,625,mitchdo01
Jaylen Brown,SF,26,BOS,23,23,826,228,452,0.504,55,157,0.35,173,295,0.586,0.565,104,125,0.832,22,141,163,84,22,10,71,63,615,brownja02
Trae Young,PG,24,ATL,22,22,781,194,476,0.408,48,162,0.296,146,314,0.465,0.458,171,190,0.9,17,47,64,212,16,3,76,30,607,youngtr01
Giannis Antetokounmpo,PF,28,MIL,19,19,626,223,410,0.544,15,63,0.238,208,347,0.599,0.562,145,234,0.62,39,176,215,104,16,20,70,65,606,antetgi01
DeMar DeRozan,SF,33,CHI,23,23,801,208,414,0.502,10,32,0.313,198,382,0.518,0.514,160,181,0.884,11,90,101,107,21,9,45,63,586,derozde01
Lauri Markkanen,SF,25,UTA,26,26,881,207,392,0.528,69,167,0.413,138,225,0.613,0.616,95,114,0.833,57,165,222,58,15,18,56,53,578,markkla01
Anthony Davis,C,29,LAL,20,20,692,217,368,0.59,9,27,0.333,208,341,0.61,0.602,129,155,0.832,68,188,256,52,27,48,40,57,572,davisan02
Ja Morant,PG,23,MEM,20,20,665,198,427,0.464,37,100,0.37,161,327,0.492,0.507,136,183,0.743,26,100,126,149,21,5,76,38,569,moranja01
