Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Álex Abrines,SG,24,OKC,6,0,110,8,20,.400,6,13,.462,2,7,.286,.550,2,2,1.000,3,13,16,2,5,2,1,11,24,abrinal01
2,Steven Adams,C,24,OKC,6,6,200,27,46,.587,0,0,,27,46,.587,.587,9,13,.692,19,26,45,9,4,4,4,15,63,adamsst01
3,Bam Adebayo,C,20,MIA,5,0,77,7,15,.467,0,1,.000,7,14,.500,.467,3,14,.214,9,11,20,0,0,2,2,8,17,adebaba01
4,LaMarcus Aldridge,C,32,SAS,5,5,177,37,80,.463,3,5,.600,34,75,.453,.481,41,42,.976,13,33,46,12,3,2,9,9,118,aldrila01
5,Al-Farouq Aminu,PF,27,POR,4,4,131,27,52,.519,13,30,.433,14,22,.636,.644,2,2,1.000,12,24,36,5,4,2,6,8,69,aminual01
6,Justin Anderson,SF,24,PHI,7,0,33,3,8,.375,2,7,.286,1,1,1.000,.500,0,0,,1,8,9,0,1,0,2,8,8,anderju01
7,Kyle Anderson,SF,24,SAS,5,1,73,12,20,.600,0,4,.000,12,16,.750,.600,3,4,.750,5,8,13,3,6,1,3,10,27,anderky01
8,Ryan Anderson,PF,29,HOU,11,0,95,7,20,.350,5,15,.333,2,5,.400,.475,0,0,,4,9,13,6,3,1,3,10,19,anderry01
9,Giannis Antetokounmpo,PF,23,MIL,7,7,280,69,121,.570,4,14,.286,65,107,.607,.587,38,55,.691,8,59,67,44,10,6,17,28,180,antetgi01
10,Carmelo Anthony,PF,33,OKC,6,6,194,27,72,.375,6,28,.214,21,44,.477,.417,11,15,.733,3,31,34,2,10,4,6,14,71,anthoca01
11,OG Anunoby,SF,20,TOR,10,10,238,29,52,.558,13,29,.448,16,23,.696,.683,8,11,.727,9,12,21,7,6,4,6,23,79,anunoog01
12,Trevor Ariza,SF,32,HOU,17,17,582,50,139,.360,26,91,.286,24,48,.500,.453,23,31,.742,9,56,65,22,19,2,10,44,149,arizatr01
13,Luke Babbitt,SF,28,MIA,2,0,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,babbilu01
14,Wade Baldwin,PG,21,POR,4,0,19,1,4,.250,1,1,1.000,0,3,.000,.375,1,2,.500,0,3,3,3,1,1,3,1,4,baldwwa01
15,Jerryd Bayless,SG,29,PHI,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,bayleje01
16,Aron Baynes,C,31,BOS,19,12,389,45,89,.506,11,23,.478,34,66,.515,.567,13,18,.722,45,73,118,19,4,11,8,43,114,baynear01
17,Bradley Beal,SG,24,WAS,6,6,216,49,108,.454,21,45,.467,28,63,.444,.551,20,23,.870,2,18,20,17,7,2,15,19,139,bealbr01
18,Marco Belinelli,SG,31,PHI,10,0,273,43,106,.406,16,46,.348,27,60,.450,.481,27,31,.871,1,20,21,20,7,0,4,20,129,belinma01
19,Jordan Bell,C,23,GSW,17,0,173,17,32,.531,0,1,.000,17,31,.548,.531,7,14,.500,15,32,47,15,6,9,6,18,41,belljo01
20,Dāvis Bertāns,PF,25,SAS,5,0,82,3,18,.167,3,16,.188,0,2,.000,.250,8,11,.727,1,10,11,6,2,0,1,10,17,bertada01
21,Nemanja Bjelica,PF,29,MIN,5,0,47,7,16,.438,4,7,.571,3,9,.333,.563,5,7,.714,4,11,15,3,3,0,1,6,23,bjeline01
22,Tarik Black,C,26,HOU,7,0,19,1,4,.250,0,0,,1,4,.250,.250,0,0,,2,4,6,2,0,1,1,5,2,blackta01
23,Eric Bledsoe,PG,28,MIL,7,7,225,37,84,.440,7,22,.318,30,62,.484,.482,14,20,.700,3,22,25,26,7,6,15,19,95,bledser01
24,Bojan Bogdanović,SF,28,IND,7,7,238,32,81,.395,17,45,.378,15,36,.417,.500,6,10,.600,1,23,24,13,6,0,13,23,87,bogdabo02
25,Trevor Booker,PF,30,IND,7,0,64,6,10,.600,0,1,.000,6,9,.667,.600,6,7,.857,5,13,18,0,1,1,1,12,18,booketr01
26,Tony Bradley,C,20,UTA,1,0,2,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,0,1,0,0,0,0,0,2,bradlto01
27,Corey Brewer,SG,31,OKC,6,6,151,13,25,.520,5,11,.455,8,14,.571,.620,6,6,1.000,4,9,13,5,7,5,2,17,37,breweco01
28,Malcolm Brogdon,PG,25,MIL,7,5,186,24,55,.436,5,19,.263,19,36,.528,.482,8,10,.800,3,21,24,17,1,0,12,14,61,brogdma01
29,Aaron Brooks,PG,33,MIN,2,0,3,2,3,.667,0,1,.000,2,2,1.000,.667,0,2,.000,0,0,0,0,0,0,0,0,4,brookaa01
30,Jaylen Brown,SG,21,BOS,18,15,583,124,266,.466,44,112,.393,80,154,.519,.549,32,50,.640,16,71,87,26,14,10,23,58,324,brownja02
31,Lorenzo Brown,PG,27,TOR,4,0,29,3,10,.300,2,5,.400,1,5,.200,.400,1,2,.500,1,5,6,2,0,1,1,2,9,brownlo01
32,Sterling Brown,SG,22,MIL,3,0,13,3,5,.600,1,3,.333,2,2,1.000,.700,0,0,,1,1,2,0,1,0,0,2,7,brownst02
33,Alec Burks,SG,26,UTA,9,0,120,30,64,.469,9,20,.450,21,44,.477,.539,13,15,.867,2,22,24,17,4,1,8,9,82,burksal01
34,Jimmy Butler,SG,28,MIN,5,5,170,28,63,.444,8,17,.471,20,46,.435,.508,15,18,.833,3,27,30,20,4,1,5,9,79,butleji01
35,José Calderón,PG,36,CLE,13,3,104,9,26,.346,4,18,.222,5,8,.625,.423,2,2,1.000,2,9,11,9,5,0,5,15,24,caldejo01
36,Clint Capela,C,23,HOU,17,17,520,95,144,.660,0,0,,95,144,.660,.660,26,55,.473,61,136,197,22,14,36,15,38,216,capelca01
37,Ian Clark,SG,26,NOP,9,0,190,28,66,.424,10,28,.357,18,38,.474,.500,4,4,1.000,2,8,10,11,8,2,9,20,70,clarkia01
